ligand,target,energy,timestamp
CHEMBL1082532,TDP43,-5.175,2026-08-12 15:13:24
CHEMBL1082532,SOD1,-5.972,2026-08-12 15:13:43
CHEMBL1083541,TDP43,-5.668,2026-08-12 15:22:40
CHEMBL1083541,SOD1,-6.462,2026-08-12 15:28:52
CHEMBL1082532,FUS,-5.095,2026-08-12 15:40:33
CHEMBL1083541,FUS,-4.401,2026-08-12 15:46:56
CHEMBL1083543,TDP43,-5.257,2026-08-12 15:54:18
CHEMBL1083543,SOD1,-5.04,2026-08-12 16:00:08
CHEMBL1083543,FUS,-4.584,2026-08-12 16:05:41
CHEMBL1091753,TDP43,-5.822,2026-08-12 16:08:10
CHEMBL1091753,SOD1,-7.565,2026-08-12 16:10:32
CHEMBL1091753,FUS,-5.511,2026-08-12 16:12:53
CHEMBL1163197,TDP43,-7.064,2026-08-12 16:15:13
CHEMBL1163197,SOD1,-5.526,2026-08-12 16:16:48
CHEMBL1163197,FUS,-5.165,2026-08-12 16:18:16
CHEMBL1163200,TDP43,-5.524,2026-08-12 16:19:54
CHEMBL1163200,SOD1,-7.466,2026-08-12 16:20:57
CHEMBL1163200,FUS,-6.366,2026-08-12 16:21:52
CHEMBL1163213,TDP43,-6.443,2026-08-12 16:22:54
CHEMBL1163213,SOD1,-6.337,2026-08-12 16:23:39
CHEMBL1163213,FUS,-5.979,2026-08-12 16:24:24
CHEMBL1163216,TDP43,-7.244,2026-08-12 16:25:41
CHEMBL1163216,SOD1,-7.728,2026-08-12 16:26:49
CHEMBL1163216,FUS,-6.554,2026-08-12 16:27:53
CHEMBL1163233,TDP43,-5.892,2026-08-12 16:28:39
CHEMBL1163233,SOD1,-6.956,2026-08-12 16:29:11
CHEMBL1163233,FUS,-5.937,2026-08-12 16:29:47
CHEMBL1163234,TDP43,-5.862,2026-08-12 16:33:49
CHEMBL1163234,SOD1,-4.276,2026-08-12 16:36:13
CHEMBL1163234,FUS,-5.492,2026-08-12 16:38:46
CHEMBL1204461,TDP43,-5.096,2026-08-12 16:39:20
CHEMBL1204461,SOD1,-5.183,2026-08-12 16:39:47
CHEMBL1204461,FUS,-4.672,2026-08-12 16:40:11
CHEMBL1204470,TDP43,-5.849,2026-08-12 16:40:34
CHEMBL1204470,SOD1,-5.742,2026-08-12 16:40:57
CHEMBL1204470,FUS,-4.819,2026-08-12 16:41:16
CHEMBL1204471,TDP43,-5.075,2026-08-12 16:41:37
CHEMBL1204471,SOD1,-5.269,2026-08-12 16:41:56
CHEMBL1204471,FUS,-4.326,2026-08-12 16:42:16
CHEMBL1205150,TDP43,-4.21,2026-08-12 16:42:55
CHEMBL1205150,SOD1,-4.914,2026-08-12 16:43:27
CHEMBL1205150,FUS,-5.115,2026-08-12 16:43:57
CHEMBL1205279,TDP43,-5.551,2026-08-12 16:45:41
CHEMBL1205279,SOD1,-4.362,2026-08-12 16:46:42
CHEMBL1205279,FUS,-4.624,2026-08-12 16:47:47
CHEMBL1205372,TDP43,-4.81,2026-08-12 16:47:56
CHEMBL1205372,SOD1,-5.164,2026-08-12 16:48:06
CHEMBL1205372,FUS,-4.97,2026-08-12 16:48:14
CHEMBL1205641,TDP43,-4.468,2026-08-12 16:48:18
CHEMBL1205641,SOD1,-5.024,2026-08-12 16:48:22
CHEMBL1205641,FUS,-4.256,2026-08-12 16:48:26
CHEMBL1205831,TDP43,-5.439,2026-08-12 16:48:45
CHEMBL1205831,SOD1,-5.791,2026-08-12 16:49:03
CHEMBL1205831,FUS,-4.183,2026-08-12 16:49:19
CHEMBL1207940,TDP43,-5.839,2026-08-12 17:35:33
CHEMBL1207940,SOD1,-4.501,2026-08-12 17:36:31
CHEMBL1207940,FUS,-4.603,2026-08-12 17:37:30
CHEMBL1207979,TDP43,-5.851,2026-08-12 17:37:47
CHEMBL1207979,SOD1,-5.424,2026-08-12 17:38:05
CHEMBL1207979,FUS,-4.867,2026-08-12 17:38:23
CHEMBL1207990,TDP43,-3.29,2026-08-12 17:38:26
CHEMBL1207990,SOD1,-4.015,2026-08-12 17:38:30
CHEMBL1207990,FUS,-3.088,2026-08-12 17:38:33
CHEMBL1208034,TDP43,-5.775,2026-08-12 17:39:09
CHEMBL1208034,SOD1,-5.837,2026-08-12 17:39:45
CHEMBL1208034,FUS,-4.69,2026-08-12 17:40:15
CHEMBL1208039,TDP43,-5.165,2026-08-12 17:40:42
CHEMBL1208039,SOD1,-6.329,2026-08-12 17:41:06
CHEMBL1208039,FUS,-5.573,2026-08-12 17:41:28
CHEMBL1208484,TDP43,-4.065,2026-08-12 18:26:43
CHEMBL1208484,SOD1,-5.755,2026-08-12 18:26:59
CHEMBL1208484,FUS,-4.813,2026-08-12 18:27:13
CHEMBL1210578,TDP43,-6.847,2026-08-12 18:27:35
CHEMBL1210578,SOD1,-7.148,2026-08-12 18:27:53
CHEMBL1210578,FUS,-5.958,2026-08-12 18:28:12
CHEMBL146675,TDP43,-6.759,2026-08-12 18:32:00
CHEMBL146675,SOD1,-5.652,2026-08-12 18:34:14
