ligand,target,energy
CHEMBL1091753,SOD1,-7.874
CHEMBL1163216,SOD1,-7.836
CHEMBL146675,TDP43,-7.436
CHEMBL1163216,TDP43,-7.244
CHEMBL1208195,FUS,-7.173
CHEMBL1163200,SOD1,-7.103
CHEMBL1210578,SOD1,-7.095
CHEMBL1163197,TDP43,-7.064
CHEMBL1163233,SOD1,-6.988
CHEMBL153717,FUS,-6.878
CHEMBL153717,TDP43,-6.795
CHEMBL1163200,FUS,-6.669
CHEMBL1210578,TDP43,-6.645
CHEMBL1208039,SOD1,-6.476
CHEMBL153086,TDP43,-6.474
CHEMBL1163213,TDP43,-6.425
CHEMBL1082532,SOD1,-6.391
CHEMBL1163213,SOD1,-6.389
CHEMBL1076399,SOD1,-6.302
CHEMBL1163216,FUS,-6.298
CHEMBL1203132,TDP43,-6.262
CHEMBL1208195,SOD1,-6.171
CHEMBL1083541,SOD1,-6.118
CHEMBL1203132,SOD1,-6.078
CHEMBL1203224,SOD1,-6.037
CHEMBL1163213,FUS,-5.996
CHEMBL154209,SOD1,-5.995
CHEMBL1210578,FUS,-5.958
CHEMBL1163233,FUS,-5.937
CHEMBL1163233,TDP43,-5.892
CHEMBL1163234,TDP43,-5.862
CHEMBL1207979,TDP43,-5.851
CHEMBL1204470,TDP43,-5.849
CHEMBL1207940,TDP43,-5.839
CHEMBL1208034,SOD1,-5.837
CHEMBL1091753,TDP43,-5.822
CHEMBL1205831,SOD1,-5.791
CHEMBL153717,SOD1,-5.777
CHEMBL1208034,TDP43,-5.775
CHEMBL154288,SOD1,-5.76
CHEMBL1208484,SOD1,-5.755
CHEMBL1204470,SOD1,-5.742
CHEMBL153534,SOD1,-5.735
CHEMBL1203132,FUS,-5.707
CHEMBL1203199,SOD1,-5.682
CHEMBL1203109,SOD1,-5.676
CHEMBL1083541,TDP43,-5.668
CHEMBL146675,SOD1,-5.652
CHEMBL1203199,TDP43,-5.63
CHEMBL1203224,TDP43,-5.597
CHEMBL1208039,FUS,-5.573
CHEMBL1205279,TDP43,-5.551
CHEMBL153812,SOD1,-5.527
CHEMBL1163197,SOD1,-5.526
CHEMBL1163200,TDP43,-5.524
CHEMBL1091753,FUS,-5.511
CHEMBL1163234,FUS,-5.492
CHEMBL1203155,TDP43,-5.463
CHEMBL1205831,TDP43,-5.439
CHEMBL1207979,SOD1,-5.424
CHEMBL1163427,SOD1,-5.409
CHEMBL1203140,TDP43,-5.301
CHEMBL1204471,SOD1,-5.269
CHEMBL1083543,TDP43,-5.257
CHEMBL1208195,TDP43,-5.25
CHEMBL1076399,FUS,-5.192
CHEMBL153086,FUS,-5.191
CHEMBL1204461,SOD1,-5.183
CHEMBL1082532,TDP43,-5.175
CHEMBL1163197,FUS,-5.165
CHEMBL1208039,TDP43,-5.165
CHEMBL1205372,SOD1,-5.164
CHEMBL1203140,SOD1,-5.152
CHEMBL152893,SOD1,-5.131
CHEMBL1163427,TDP43,-5.121
CHEMBL1205150,FUS,-5.115
CHEMBL1204461,TDP43,-5.096
CHEMBL1082532,FUS,-5.095
CHEMBL1203109,TDP43,-5.081
CHEMBL1204471,TDP43,-5.075
CHEMBL153086,SOD1,-5.062
CHEMBL1083543,SOD1,-5.04
CHEMBL1205641,SOD1,-5.024
CHEMBL154341,TDP43,-5.011
CHEMBL152893,TDP43,-4.974
CHEMBL1205372,FUS,-4.97
CHEMBL146675,FUS,-4.968
CHEMBL154228,SOD1,-4.965
CHEMBL1203199,FUS,-4.942
CHEMBL1205150,SOD1,-4.914
CHEMBL152893,FUS,-4.913
CHEMBL154288,TDP43,-4.896
