ligand,target,energy_base,energy_refinada
CHEMBL1163216,SOD1,-7.728,-7.836
CHEMBL1091753,SOD1,-7.565,-7.874
CHEMBL1163200,SOD1,-7.466,-7.103
CHEMBL1163216,TDP43,-7.244,-7.244
CHEMBL1210578,SOD1,-7.148,-7.095
CHEMBL1163197,TDP43,-7.064,-7.064
CHEMBL1163233,SOD1,-6.956,-6.988
CHEMBL1210578,TDP43,-6.847,-6.645
CHEMBL146675,TDP43,-6.759,-7.436
CHEMBL1163216,FUS,-6.554,-6.298
CHEMBL153717,TDP43,-6.476,-6.795
CHEMBL1083541,SOD1,-6.462,-6.118
CHEMBL1163213,TDP43,-6.443,-6.425
CHEMBL1203132,TDP43,-6.42,-6.262
CHEMBL153086,TDP43,-6.396,-6.474
CHEMBL1163200,FUS,-6.366,-6.669
CHEMBL1163213,SOD1,-6.337,-6.389
CHEMBL1208039,SOD1,-6.329,-6.476
CHEMBL1203224,SOD1,-6.123,-6.037
CHEMBL153717,FUS,-6.092,-6.878
CHEMBL1203132,SOD1,-6.045,-6.078
CHEMBL154209,SOD1,-6.007,-5.995
CHEMBL1163213,FUS,-5.979,-5.996
CHEMBL1082532,SOD1,-5.972,-6.391
