ligand,target,energy
14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,SOD1,-8.700
14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,FUS,-7.700
14-BIS(3-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE,TDP43,-7.400
CHEMBL1362588,TDP43,-7.300
CHEMBL1362588,SOD1,-7.200
CHEMBL1362588,FUS,-6.700
CHEMBL1304170,SOD1,-6.500
CHEMBL1330042,SOD1,-6.500
CHEMBL1392366,SOD1,-6.500
CHEMBL1091584,SOD1,-6.400
CHEMBL124937,SOD1,-6.400
CHEMBL1330042,FUS,-6.400
CHEMBL1373390,SOD1,-6.400
CHEMBL1401300,SOD1,-6.400
CHEMBL1349775,SOD1,-6.300
CHEMBL1361516,SOD1,-6.300
CHEMBL1391481,SOD1,-6.300
CHEMBL1398258,SOD1,-6.300
CHEMBL1310576,SOD1,-6.200
CHEMBL1317201,SOD1,-6.200
CHEMBL1355230,TDP43,-6.200
CHEMBL1362589,SOD1,-6.200
CHEMBL1091583,SOD1,-6.100
CHEMBL1304170,FUS,-6.100
CHEMBL1304235,SOD1,-6.100
CHEMBL1327582,SOD1,-6.100
CHEMBL1354402,SOD1,-6.100
CHEMBL1361526,SOD1,-6.100
CHEMBL1391570,SOD1,-6.100
CHEMBL1395293,TDP43,-6.100
CHEMBL1395293,SOD1,-6.100
CHEMBL1397298,FUS,-6.100
CHEMBL1401539,SOD1,-6.100
CHEMBL1304170,TDP43,-6.000
CHEMBL1323007,SOD1,-6.000
CHEMBL1351702,SOD1,-6.000
CHEMBL1354146,TDP43,-6.000
CHEMBL1354521,SOD1,-6.000
CHEMBL1382944,TDP43,-6.000
CHEMBL1395177,SOD1,-6.000
CHEMBL1304169,SOD1,-5.900
CHEMBL1311655,SOD1,-5.900
CHEMBL1312509,SOD1,-5.900
CHEMBL1343730,SOD1,-5.900
CHEMBL1354146,SOD1,-5.900
CHEMBL1355230,SOD1,-5.900
CHEMBL1356176,SOD1,-5.900
CHEMBL1357297,SOD1,-5.900
CHEMBL1362476,SOD1,-5.900
CHEMBL1382944,SOD1,-5.900
CHEMBL1314282,SOD1,-5.800
CHEMBL1343658,SOD1,-5.800
CHEMBL1343719,SOD1,-5.800
CHEMBL1349775,FUS,-5.800
CHEMBL1357296,SOD1,-5.800
CHEMBL1366713,FUS,-5.800
CHEMBL1373385,SOD1,-5.800
CHEMBL1373390,FUS,-5.800
CHEMBL1373803,SOD1,-5.800
CHEMBL1383019,TDP43,-5.800
CHEMBL1383019,SOD1,-5.800
CHEMBL1397298,SOD1,-5.800
CHEMBL1401818,SOD1,-5.800
CHEMBL1310648,TDP43,-5.700
CHEMBL1310648,SOD1,-5.700
CHEMBL1323007,TDP43,-5.700
CHEMBL1327168,SOD1,-5.700
CHEMBL1327521,SOD1,-5.700
